Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Weekend,Month_Dec,Month_Feb,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep,VisitorType_New_Visitor,VisitorType_Returning_Visitor
0.508153187360198,-0.19858433013215243,-0.39485334085207435,-0.2432542315191726,-0.3992481585341916,-0.44032313176124616,-0.4546470552849395,-0.6686505973814542,-0.3201111570862809,-0.31261133965237436,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.3968341212798464,-0.22725351875000385,-0.39485334085207435,-0.2432542315191726,-0.2834752601620219,-0.3548565831814595,-0.4546470552849395,-0.6686505973814542,-0.3201111570862809,-0.31261133965237436,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-0.6984965574931945,-0.4513185365885514,-0.39485334085207435,-0.2432542315191726,-0.42240273820862556,-0.490118816908539,-0.4546470552849395,-0.25239077003322125,-0.3201111570862809,-0.31261133965237436,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.1114780597868943,-0.10199978207007045,-0.39485334085207435,-0.2432542315191726,0.3416983910476945,-0.04150705532631717,-0.30856184993858077,-0.5451978561812011,-0.3201111570862809,-0.31261133965237436,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.6984965574931945,-0.4513185365885514,-0.39485334085207435,-0.2432542315191726,-0.6771031146273989,-0.6083507512979908,-0.4546470552849395,1.1712178333287646,-0.3201111570862809,-0.31261133965237436,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.3968341212798464,-0.10895832299673341,-0.39485334085207435,-0.2432542315191726,-0.42240273820862556,-0.11962666728603748,-0.4546470552849395,-0.7269269711538832,2.458131162844811,-0.31261133965237436,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.6984965574931945,-0.4513185365885514,-0.39485334085207435,-0.2432542315191726,-0.653948534952965,-0.589447644100107,0.9202725960221947,1.1712178333287646,-0.3201111570862809,-0.31261133965237436,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.6984965574931945,-0.4513185365885514,-0.39485334085207435,-0.2432542315191726,-0.6771031146273989,-0.618327391207985,3.6701118780126682,3.227541378372712,-0.3201111570862809,-0.31261133965237436,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.318127804640287,0.5936687496904096,0.3894916959475238,-0.1659581401460354,-0.05192946341768249,-0.4726947028376221,-0.4546470552849395,-0.43467293322334294,-0.3201111570862809,-0.31261133965237436,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-0.6984965574931945,-0.4513185365885514,-0.39485334085207435,-0.2432542315191726,-0.5844847959296632,-0.5794710041901128,-0.4546470552849395,-0.47384100270639296,-0.3201111570862809,-0.31261133965237436,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.3968341212798464,-0.1785437322633631,-0.39485334085207435,-0.2432542315191726,1.8699006495603345,0.5566077783630202,-0.3735308454017727,-0.49176581054265744,-0.3201111570862809,-0.31261133965237436,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.20649075114684987,-0.1280711153900783,-0.39485334085207435,-0.2432542315191726,-0.6076393756040971,-0.5731699684574849,-0.4546470552849395,-0.6280652685846889,-0.3201111570862809,-0.31261133965237436,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
